Mon,Tue,Wed,Thu,Fri,Sat,Sun,lat,long,rad
0,0,0,0,0,0.297297297,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0,0,0,40.45187,-79.94909,15
0,0,0,0,0.192982456,0,0,40.44343,-79.94202,80
0,0,0,0,0.02,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0.44,0,0,40.44343,-79.94202,80
0,0,0.0240963855,0,0.621621622,0,0,40.44343,-79.94202,80
0,0,0.244897959,0,0,0,0,40.44343,-79.94202,80
0,0,0.269230769,0,0.085106383,0,0,40.44343,-79.94202,80
0,0,0.258064516,0,0,0,0,40.44343,-79.94202,80
0,0.225352113,0.454545455,0,0,0,0,40.44343,-79.94202,80
0,0.3,0.382352941,0.0344827586,0,0,0,40.44343,-79.94202,80
0,0.170731707,0.0615384615,0,0,0,0,40.44343,-79.94202,80
0,0,0.0161290323,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0.352941176,0,0,0,0,40.44343,-79.94202,80
0,0,0.338028169,0,0,0,0,40.44343,-79.94202,80
0,0,0.412698413,0,0,0,0,40.44343,-79.94202,80
0,0,0.35,0,0,0,0,40.44343,-79.94202,80
0,0,0.142857143,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0,0,0,0,40.44343,-79.94202,80
0,0,0,0.027027027,0,0,0.0847457627,40.44343,-79.94202,80
0,0.0434782609,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0.72,0,0,0.744186047,0,0,0,40.44353,-79.94461,50
0.548387097,0,0,1,0,0,0,40.44353,-79.94461,50
0.520833333,0,0,1,0.027027027,0,0,40.44353,-79.94461,50
0.454545455,0,0,0.025974026,0,0,0,40.44353,-79.94461,50
0,0,0,0,0.191489362,0,0,40.44353,-79.94461,50
0,0,0,0,0.32,0,0,40.44353,-79.94461,50
0,0,0.0181818182,0,0.0441176471,0,0,40.44353,-79.94461,50
0.464285714,0.1375,0.0294117647,0,0,0,0,40.44353,-79.94461,50
0.688311688,0.487804878,0.0153846154,0,0,0,0,40.44353,-79.94461,50
1,1,0,0,0,0,1,40.44353,-79.94461,50
0.876923077,1,0,0.166666667,0,0,0.964285714,40.44353,-79.94461,50
0.412698413,1,0,0.0491803279,0,0,1,40.44353,-79.94461,50
0,1,0,0,0,0,0.577777778,40.44353,-79.94461,50
0,1,0,0,0,0,0.426470588,40.44353,-79.94461,50
0,1,0,0,0,0,0.480769231,40.44353,-79.94461,50
0,1,0,0,0,0,0,40.44353,-79.94461,50
0,1,0,0,0,0,0,40.44353,-79.94461,50
0,0.820895522,0,0,0,0,0,40.44353,-79.94461,50
0,0.0704225352,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44353,-79.94461,50
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0.02,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0.529411765,0,0,0,0,0,40.44116,-79.94377,35
0,0.130434783,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0.615384615,0,0.0163934426,0,0,0,40.44116,-79.94377,35
0,1,0,0,0,0,0,40.44116,-79.94377,35
0,1,0.0144927536,0,0,0,0,40.44116,-79.94377,35
0,0.634146341,0,0,0,0,0,40.44116,-79.94377,35
0.242424242,0.0102040816,0,0,0,0,0,40.44116,-79.94377,35
0.454545455,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0.338028169,0,0,0,0,0,40.44116,-79.94377,35
0,0.1,0.264705882,0,0,0,0,40.44116,-79.94377,35
0,0,0.415384615,0,0,0,0,40.44116,-79.94377,35
0,0,0.370967742,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0.174603175,0,0,0.31147541,0,0,0,40.44116,-79.94377,35
0.548387097,0,0.0909090909,0.433333333,0,0,0,40.44116,-79.94377,35
0,0,0,0.433333333,0.333333333,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0.473684211,40.44116,-79.94377,35
0,0,0.294117647,0.0229885057,0,0,0.264705882,40.44116,-79.94377,35
0,0,0.225352113,0,0,0,0,40.44116,-79.94377,35
0,0,0,0.0169491525,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44116,-79.94377,35
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
